-3.141593 -3.141593 4.477329
401.772781 401.772781 4.074197
814.259765 814.259765 4.019805
1221.799995 1221.799995 4.463366
1626.811657 1626.811657 4.063760
2039.420052 2039.420052 4.094198
2446.359050 2446.359050 4.472054
2852.743896 2852.743896 4.012842
3263.997999 3263.997999 4.402314
3668.415002 3668.415002 4.011743
4080.918804 4080.918804 4.369843
4485.064088 4485.064088 4.018792
4897.326888 4897.326888 4.310596
5301.607978 5301.607978 4.123966
5713.407853 5713.407853 4.442786
6119.208427 6119.208427 4.060870
6530.539488 6530.539488 4.263365
6935.061113 6935.061113 4.389266
7345.777286 7345.777286 4.417343
7753.985198 7753.985198 4.413592
8162.401978 8162.401978 4.442336
8570.522992 8570.522992 4.434574
8978.988915 8978.988915 4.451495
9387.027128 9387.027128 4.447601
9795.487014 9795.487014 4.438249
10203.519177 10203.519177 4.428558
10611.830640 10611.830640 4.389389
11019.915196 11019.915196 4.321841
11427.950507 11427.950507 4.169431
11835.696603 11835.696603 4.001932
12242.053785 12242.053785 4.403012
12642.106443 12642.106443 3.947157
13046.939574 13046.939574 4.300252
13444.841024 13444.841024 3.970475
13850.653307 13850.653307 4.198620
14248.668503 14248.668503 4.328687
14653.118272 14653.118272 4.372270
15054.901585 15054.901585 4.373557
15456.967920 15456.967920 4.390740
15858.640972 15858.640972 4.384705
16260.669537 16260.669537 4.343506
16662.313554 16662.313554 4.269309
17064.013335 17064.013335 4.078481
17465.323647 17465.323647 4.117313
17864.612202 17864.612202 4.150731
18260.289497 18260.289497 4.218981
18655.805280 18655.805280 4.234379
19051.543745 19051.543745 4.307240
19446.908184 19446.908184 4.300419
19842.755394 19842.755394 4.329424
20237.922561 20237.922561 4.322562
20633.737457 20633.737457 4.247521
21028.904320 21028.904320 4.099767
21424.076699 21424.076699 3.817949
21818.149719 21818.149719 4.202698
22203.720751 22203.720751 3.825414
22596.927458 22596.927458 3.953817
22981.818768 22981.818768 3.882122
23371.080667 23371.080667 4.185751
23757.487625 23757.487625 4.106794
24144.938518 24144.938518 4.031149
24534.209583 24534.209583 3.755505
24922.266430 24922.266430 4.181834
25301.544067 25301.544067 3.736817
25688.603644 25688.603644 3.812444
26066.503151 26066.503151 4.139286
26446.647727 26446.647727 4.186255
26828.632557 26828.632557 4.195740
27212.131446 27212.131446 4.043715
27594.447348 27594.447348 3.725566
27976.345290 27976.345290 4.162759
28349.958291 28349.958291 3.783207
28728.747563 28728.747563 3.932010
29102.094446 29102.094446 4.086633
29479.838816 29479.838816 4.132302
29857.294134 29857.294134 3.970769
30233.340128 30233.340128 3.627524
30608.759392 30608.759392 3.910357
30974.585077 30974.585077 3.951747
31347.874581 31347.874581 4.086802
31717.125294 31717.125294 4.078600
32088.357710 32088.357710 3.924294
32457.636848 32457.636848 3.617472
32827.109222 32827.109222 3.903151
33188.840191 33188.840191 3.933621
33553.082753 33553.082753 4.034147
33916.665722 33916.665722 4.026700
34280.978744 34280.978744 3.900272
34644.352577 34644.352577 3.585339
35007.549461 35007.549461 3.501758
35364.265057 35364.265057 3.671285
35717.994343 35717.994343 3.606392
36075.928444 36075.928444 3.682273
36431.438681 36431.438681 3.422521
36784.559990 36784.559990 3.899768
37132.910139 37132.910139 3.405614
37488.168094 37488.168094 3.403766
37834.495981 37834.495981 3.576638
38178.332809 38178.332809 3.352401
38525.134365 38525.134365 3.856398
38867.168353 38867.168353 3.324911
39216.340612 39216.340612 3.313817
39555.787194 39555.787194 3.502244
39893.682786 39893.682786 3.284051
40234.244022 40234.244022 3.785695
40569.819418 40569.819418 3.256283
40912.823611 40912.823611 3.242656
41245.885936 41245.885936 3.433602
41577.584793 41577.584793 3.215207
41911.751598 41911.751598 3.725806
42241.153785 42241.153785 3.190535
42577.673048 42577.673048 3.173952
42904.746952 42904.746952 3.514967
43229.533888 43229.533888 3.160321
43558.398213 43558.398213 3.367506
43879.849449 43879.849449 3.530544
44207.207026 44207.207026 3.650694
44535.540809 44535.540809 3.569847
44860.939503 44860.939503 3.252572
45186.545779 45186.545779 3.091681
45506.346938 45506.346938 3.111138
45819.272237 45819.272237 3.017488
46134.171002 46134.171002 3.597899
46445.288484 46445.288484 3.009684
46762.845202 46762.845202 2.985838
47070.016794 47070.016794 2.964734
47377.943850 47377.943850 3.321350
47684.297349 47684.297349 2.965425
47993.435185 47993.435185 3.330965
48297.485402 48297.485402 3.493789
48606.854764 48606.854764 3.425468
48913.761321 48913.761321 3.046757
49220.316525 49220.316525 3.004440
49519.727081 49519.727081 3.175848
49817.738790 49817.738790 2.909737
50118.485347 50118.485347 3.221438
50408.610271 50408.610271 2.950549
50707.206943 50707.206943 3.161469
50999.128232 50999.128232 3.037328
51294.092357 51294.092357 3.214023
51585.839802 51585.839802 2.918115
51875.765825 51875.765825 3.141074
52161.653419 52161.653419 3.081896
52450.534209 52450.534209 2.651368
52737.522731 52737.522731 2.929557
53015.648541 53015.648541 2.605320
53296.998312 53296.998312 3.176007
53571.037716 53571.037716 2.577926
53850.102629 53850.102629 2.549070
54120.021213 54120.021213 2.655348
54389.387501 54389.387501 2.592540
54659.737397 54659.737397 3.158097
54927.863594 54927.863594 2.762470
55199.414586 55199.414586 2.704530
55465.869541 55465.869541 2.549737
55727.751089 55727.751089 3.121659
55989.430719 55989.430719 2.803589
56254.675034 56254.675034 2.597647
56515.052821 56515.052821 2.619697
56766.495180 56766.495180 2.847691
57018.521972 57018.521972 2.997473
57276.781869 57276.781869 2.848872
57533.849632 57533.849632 2.316258
57788.966330 57788.966330 2.466798
